text,level
I have a ten-page paper due for my history class next Monday.,B1
There were some tense moments in the second half of the game.,B2
Interest rates fell sharply last month.,B2
The good thing about having her as a boss is that she treats us all as equals.,B2
Brown was his last name.,A2
It's easy to be too protective towards your children.,C1
Have you seen my wallet anywhere?,A2
I was puzzled by what he said.,C1
Now Mary knew what happened at Jamaica Inn and it was very dangerous for her because her uncle was a violent man.,B2
It's a beautiful place with a wide range of activities.,B1
"To balance this, technology has developed a lot in the last decades and now people can have wild animals inside their homes, even though they may be locked up on a CD-Rom or coming in a wave format through the satellite dish.",B2
If you add three and four you get seven.,A2
"Far from asking you to close the airport, which would be quite an irrational request, I am suggesting that you should take some action to improve the situation.",C2
His daughter's presence seemed to fill the empty bedroom.,C2
"These appliances have been the key to medical achievements, such as laser-based surgery or different kinds of diagnosis and treatment.",B2
"Next, we went to a forest. [I]n the middle was a lake and the sight was magnificent.",B1
I'm simply pointing out one should never judge a book by it's cover as things aren't always what they seem.,C2
I envy her ability to talk to people she's never met before.,B2
"My mother was such a gentle, loving person.",B1
All participants finishing the race will receive a medal.,C1
I had to fill in a questionnaire about myself.,B1
"I met this gorgeous guy Neto, and we are dating.",B1
"Her boyfriend's a little weird, but she's all right.",B2
The famous stars and the journalists should compromise and respect each other's rights.,B2
She was thrilled with your present.,B2
"To all intents and purposes, the project was a disaster.",C2
"He collapsed, groaning with pain.",C2
I'm living with my parents for the time being.,C2
Her character doesn't appear until Act 2.,B1
Have you taken her temperature?,C2
She needs a job that will provide an outlet for her creative talent.,C2
The main reason I am applying for this job is that this job would be very rewarding on a personal level and would give me useful experience closely related to my field of study.,B2
Our equipment is totally inadequate for a job like this.,C1
"I would suggest that the local authorities with the support of the community and companies start an appeal, to raise money to keep the St. Mary's running.",C2
We put the horses in their stables.,C2
"He was born in the small town of Elnora, Indiana.",A1
I'm certainly not going to tell Lara how much money I've spent - it's none of her business!,B2
He was taken prisoner by a group of armed soldiers.,C2
"He had taken blood samples, listened to her lungs and heart but nothing seemed to be wrong with her apart from the fact that she couldn't move her legs.",C2
Napoleon was defeated by the Duke of Wellington at the battle of Waterloo.,B1
The hotel was fully booked.,B1
"To illustrate her point,",C1
And they have to work hard to reach and sustain this high level.,C2
They took her to the station and promised her immunity if she would testify against James.,C2
We all ran to hide in the little shelter we had built.,B2
He eats all the time but he never gets fat.,A1
My grandfather died before I was born.,A2
And the police said that they will try their best.,B1
"Try as I might, getting good grades was always met more with a sense of mission accomplished - duly noted - than a feat worthy of congratulations.",C2
This is our son Raja.,A1
"Their very own father had struck oil, made tons of money with it and did not even want to give some to his children.",C2
She started her own software company.,B2
I find gardening very therapeutic.,C1
She asked me to give her a hand.,B1
Joe made a face when he saw what was for lunch.,B1
Most of the old part of the city was destroyed by bombs during the war.,B1
Your children have a good chance of getting a better education.,C1
Do you know any funny stories,A1
"If we are bad, they complain to our manager or they tell the head office.",B1
His glare said everything; she was the worst thing that had ever happened to the school.,C2
"When I asked her when she thought the building work would be finished, she just rolled her eyes.",C2
We cut down a dead tree to keep the house warm because it was very cold.,A2
They simply filled the bathtub with ice cold water and tightened the belts.,B2
"Also, due to global warming, sea levels might rise and the risk of flooding will also rise.",B2
I worked out the facts by a process of deduction.,C2
"Now, wait a minute - I don't agree with that.",B1
Even small kids came and had fun.,A2
She called up to ask me a favor.,B1
Do we know the full scope of the problem yet?,C1
They got into the car and drove off.,B1
And I think we should go somewhere else to have a drink after the film.,A2
The mean temperature this month was warmer than usual for January.,C2
Her birthday's drawing nearer every day.,B2
We need to increase production by 20%.,B2
He felt that corporations were not being taxed enough.,C1
"I'm exhausted, I've been running around all morning.",C2
I am a cheerful and energetic person.,B2
My father and I have similar views on politics.,B1
"It starts with two very important works of Albrecht Durer, one of the most prominent painters of his time, not only in Germany.",C1
Here's a present for you.,A2
"Furthermore, the food was nothing special - the bread for breakfast was stale and the rice for dinner was cold.",C1
"To the surprise of everyone in the village, the judge found her guilty but didn't send her to jail because he thought she should take care of Linda, who had no other relatives.",B2
"We are going to see a dramatic film, Era mio padre, so don't forget your handkerchief.",B1
My feeling is that we had better act quickly or it will be too late.,B2
She booked me into a hotel uptown.,B1
She lost her cool and started shouting.,C2
"That's why I think people who fight to defend equality are amazing, especially Nelson Mandela because he spent part of his life in jail for that.",B2
Just one detail turning out to be not as expected or not perfect is often enough to shatter their illusions and cause arguing.,C2
This is the same building photographed from different angles.,C1
"At the same time, we could change the curtains for lighter ones because we need the daylight.",B2
Thus they are encouraged to follow their example and change their character forever.,C2
They are opposed to genetically modified food.,C1
We suddenly encountered an obstacle along the trail.,C1
Sometimes people don't bother to read a book because it has been made into a film or a series.,B2
The best part was (without a doubt) when I made a little stop in a small town... I fell in love with that town!,B1
She was trying to balance a book on her head.,B2
You must be prepared to allow for an extra quarter of an hour.,C1
My estimated time of arrival at Heathrow airport is nine o'clock in the morning and my flight number is OK 1312.,B2
I've lived in Cambridge for two years now.,B2
His arms and back were covered in bruises.,B2
I do really enjoy shopping as it's really fun to browse through the clothes and pick your choice.,B2
I was very moved: it was so beautiful!,B2
This is as you might know the aim of the concept of sustainable development.,C1
"There will be no service, at the deceased’s request.",C2
We climbed the northwest face of the mountain.,B1
He gave a very surprising answer.,B1
I only hope you know what you're doing.,B2
You can't come without your parents' consent.,C1
"For example, we may have the top website developers in China, but quite often their skills are restrict]e by poor IT infrastructures.",C1
"You should stay in a city because of the things that only a city can offer and an important detail about countryside is the mosquitoes, there are a lot!",B1
I'm expecting our first baby in May.,B2
Churchill was a distinguished politician.,B1
This decade has seen huge technological advances.,C1
"Physically, she's the opposite of me.",B1
It's traditional for the two teams to exchange shirts after the game.,B1
They propose to cycle across Iowa.,B2
He turned the TV off and started thinking about Tania.,A2
I think young people would happily accept it.,B2
I rode my bike home as fast as I could.,A2
"Chairs, stools, sofas and benches are all seats.",A2
This invention made a major contribution to road safety.,B2
"Respected Madam, I'm sorry that I can't make it to the English class tomorrow as I have a high temperature.",B1
These bugs are so tiny you cannot see them with the naked eye.,C2
I've searched the house from top to bottom and still can't find it.,C2
It is not a big city and I think it's absurd that people that live and work in it use the car to go to school or to work.,B2
I don't cook meat very often.,A1
"The eating procedure takes approx. 3 hrs, as each course is introduced by a detailed description of its preparation and composition.",C2
I'd happily offer to help him if I thought it would make any difference.,B2
They have suffered years of financial hardship.,C1
I don't know why I wanted to meet her so much but my heart just kept telling me to go after her.,B1
Bright colors are identified with cheerfulness and happiness and dark colors with sadness or feeling down.,C2
"I also believe that robots will prevail in the domain of health, as they will take the place of doctors and surgeons.",C1
I tripped and twisted my ankle.,C1
He scored two goals in the second half.,A2
She marched into my office demanding to know why I hadn't written my report.,C2
She is the same age as me.,A1
He was wearing a dark jacket with a red shirt underneath.,B2
I'll ask my boss if I can leave work early tomorrow.,A2
I need it because I must pay the bills.,A2
This is my second attempt at the exam.,B2
Viewers never tire of nature programs.,C2
"You can't come to Holland without trying the Dutch pancakes, which are much better than the English ones.",B2
"Firstly, let me tell you that your report is really good. I think you capture in a few lines the whole expression of a Mexic[an] town['s] life.",B2
The whole point about dancing is to lose all your inhibitions.,C2
They exchanged greetings before starting the session.,B1
This is not a very practical solution for the employees.,C1
Could you possibly lend me your bike for one day?,B1
The other great advantage is that it is a nice way of fighting against pollution.,B2
A distant rumbling could be heard through the thick layers of rock that she was under.,B2
News of the scandal broke just before the election.,C2
I am fifty five years old and have experience as a conductor of a choir.,B2
Turn on the faucet.,B1
Even the smallest baby can identify its mother by her voice.,B2
That is why I think I would make a good judge.,C1
"Just a short stroll away there is a former King’s residence, Wawel Castle.",C2
"Since nobody ever heard from them again, we all drew the sad conclusion that they must be dead.",B2
"We invite your newspaper to reconsider its position, hoping that the council will think about our proposals.",C1
Helen is training to become a vet.,B1
We took our old mattress to the dump.,C1
It is hoped that a compromise will be reached in today's talks.,B2
The distant chirping of crickets was music to my ears.,C2
The stitches around the collar are coming undone.,C2
You cannot infringe individual liberties and ban the purchase of cars - it would go against the very fabric of modern society.,C2
Is it possible to speak to the manager please?,A1
I feel ill and I've got earache.,B1
I've decided to take this class because I felt I had some trouble spelling words.,B1
"He was a genius, but misunderstood by society at the time.",C2
What time are you on duty tomorrow?,B2
"It is the responsibility of the parents not to fight or use any foul language in front of the kids, as they may learn and use it in front of others.",C1
"The improvement has been across the board, with all divisions reporting increased profits.",C2
Can I give you some knives and spoons for the cake?,A2
The garden is his domain.,C1
The best place in Poland to spend a holiday is the south of the country.,A2
Laptops are indeed a portable office.,C1
"As films, books and documentaries show, it was a real disaster, not only because the ship sank, but also due to the high number of casualties.",C2
I'm thinking of painting it blue.,A2
The houses will be semi-detached to allow neighbors to chat and unwind.,C1
It's unlikely that we'll see them again.,B1
The program was launched a year ago.,B2
They sat beneath a palm tree.,C1
"Her brother had hesitated before telling her the truth, but he proved that he really trusted his sister by confessing his guilt to her.",B2
I took it to the garage and they are fixing it now but it will take time to repair it.,B1
"I heard about the club from a friend, so I joined it immediately (I like science fiction films a lot) and I took a strange member ""card"": in fact it is a blue sphere with my name, my nickname (""The Sleeping Dragon"") and my favorite character's image from the film (Neo) on it.",B1
She unlocked the door and went in.,B2
I'm not in a position to talk about this at the moment.,C1
Be careful while you are in Brazil because sometimes people charge really high prices for everything just because you are a tourist.,B1
"If you are interested in other activities, just sign up for them on the notice board.",B1
You did well to keep your cool in all that panic.,C1
"If required, I could additionally find time on week nights, however due to my professional duties I may have to cancel on short notice.",C1
We drove for miles along dusty roads.,C1
We took shelter from the rain in a doorway.,B2
We tried very hard to score a second goal but all our efforts were unsuccessful.,B2
My philosophy has always been to give those with ability the chance to progress.,C1
"Luckily, I've come across an advertisement of a well-known computer trader.",B2
"I'm not even sure if I can manage to cover 60 km. I agree with Chris completely, it will be too difficult.",B2
He's sure to go back there again.,C1
Take a deep breath and relax.,B2
On the map we have marked a black dot on the place where you will find the hotel.,B2
He's won the Championship for the fifth year running.,C2
We want to go trekking in the Himalayas.,B2
The sales teams are well on track and bringing in new customers every day.,C1
"When I came around, Mr. Smith was under arrest and fortunately, things finished well for me.",B2
"At first I thought he was being rude, but I've come reached the conclusion that he's just shy.",B1
"Since it was the first live musical event I had been to, I was impressed by how loud the music was being played and dazzled by the lights.",C2
It shows how a band or a singer do their video clips.,B1
"I'm sorry to bother you, but could you direct me to the station?",A2
You have to satisfy your boss but you do not have to do more than you are expected to.,B2
I've been learning the violin for the last four years.,A2
"You'll be examined in three main areas: speaking, listening, and reading comprehension.",C2
I think it will enable me to see things more in perspective.,C2
She decided to give away everything she had and go to a place where nobody could find her.,B1
Without losing a minute I packed my things and I took a cab home.,A2
We can go fishing or hunting.,A2
I think I left my cell phone at your house.,A1
"After I unpacked, I asked if I could have a guide to show me around the town.",B1
She went through the motions of every-day-life without enthusiasm.,C2
It would be a great loss to the department if you left.,C2
The improved diet had a positive effect on his mood.,B2
I myself am a totally dedicated sports fan and I believe that basketball is the greatest sport on this earth.,C1
Don't leave your packing till the night before you go.,C2
I've spent hours perfecting my speech.,C2
"If the parents keep a close watch on their children's activities and friends and advise them what is right or wrong, this will prevent them from indulging in bad activities.",C2
The new measures have had little effect on ordinary people's lives.,C1
"I think this report is exhaustive and that we can rely on this institution, should other colleagues be sent to a similar course there.",C1
They celebrate birthdays in a big way.,C2
"Sammy gave me a gold ring, Remi an orange sweater, Minny a bag and Dominique a red cap.",A2
He retired when he was still in his fifties.,B2
We had David and Amy over for dinner last week.,B2
I was curious to know what would happen next.,B1
My boy friend and I visit every winter for 3-4 months.,A1
The airline was responsible for the cancellation and we expect to receive a full refund.,B1
"There were many speakers who talked about all sorts of subjects such as politics, religion, gender identity, and art.",B2
"Sometimes it seems to me that the whole world has a book of platitudes, which everybody uses in order to communicate. I find it rather pathetic.",C2
"Furthermore, the aid provided to these countries is not always innocent and might have strings attached.",C2
"You look weary, my love.",C2
We can buy most of the lumber precut to the lengths we will need.,C2
It is well known that clothes used to reflect the position that each individual had in the social hierarchy of our societies.,C2
Some major changes are really necessary.,B2
"Paul Rebere, a famous professional assassin, had been in that room for two hours now, waiting for his target to show up.",B2
Go right at the first traffic light.,A2
Mira is one of my closest friends.,A2
I was deeply impressed by the long-term cooperation between the zoo and the school.,B2
Andrew's our best player - we can't really do without him.,B2
In his rear mirror he saw that all the lights on the airfield were on again.,B2
They didn't even knew it of course that they would become legends for the generations to come and this fact makes this hypothetical travel such a fascinating experience only on the thought of it!,C1
We live within(easy) reach of the station.,B2
His opinions carry a lot of weight with the scientific community.,C2
You cannot conceive of any other way of existence than the one you know.,C2
My eyes really hurt.,A2
I noticed several unfamiliar faces in the meeting room.,B2
They've cut her hours down at work.,B2
I'd like to know if I have to pay for my ticket (Valencia-Kent) or if there]' some kind of grant that I could apply for.,B2
He has been transferred to a psychiatric hospital.,B1
I think that I am a very competitive player.,B2
"Thirdly, you do not have to worry about rain, wind, frost or other bad weather conditions.",B2
It's also possible to hire a small yacht there and have a trip round the bay.,B1
"Microsoft Vista is such a complex system that there is no need for the additional programs for viewing web sites, watching movies, listening to music or burning your own CDs or DVDs.",B2
"It seems commonly accepted that the new ''high-tech'' society has turned us into lazy people, without aims, targets, even hobbies in our spare time, unless watching videos or playing computer games. I am a student, I am young and I know a lot of people like me who do not fit in this stereotype.",C1
Alan would never do anyone any harm.,B2
It made a satisfying crashing noise as the frame and glass split.,C2
The success of the venture comes down to the commitment of those involved.,C2
We're taking a vacation in June.,A1
Now you can replace or heal almost every bone or organ in a human body.,C1
She's a very hard-working student.,B2
"If your University has Internet access, there might be a way to earn lots of dollar bills.",B1
We're taking my niece on vacation with us.,B1
I prefer to take back roads and avoid the highway traffic.,C1
"In order to ensure a pleasant end-of-term activity and to avoid yet another negative outcome, it is necessary for us to dispose of a great sum of money.",C1
"The decoration was basic, but homely.",B1
I felt his head and it was hot.,B2
Miss Murphy said that she had found my diary in a street near the airport.,A2
I think people shouldn't underestimate the importance of books and I am sure it will finally pay off!,B2
"My collection consists of original, pre-WW2 hand-written documents - anything from love letters to bank statements, chores lists handed out to servants to pre-nuptial agreements, as long as it is hand-written, it finds its way to my archives.",C2
I had to change the shirt I bought for a bigger size.,B1
We need to pause and take stock of what still needs to be done.,C2
Will you marry me?,B1
"Respected Madam, I'm sorry that I can't make it to the English class tomorrow as I have a high temperature.",B1
"I know that you love horror movies, don't you?",B1
James eyed her with a mixture of contempt and admiration for her coolness.,C2
I had to read the essay out loud in front of the whole school.,B1
"We should build more schools because we only have one, so we have to send our children away and none of us like that.",B2
Please relax and make yourself at home and help yourself.,C1
It felt strange to see him again after so long.,B2
He played a beautiful melody.,C2
"One of the greatest of these musicians is Caetano Veloso, whose lyrics and melodies touch the hearts and souls of music lovers in Brazil and all around the world.",B2
One of the new-stars worried so much that she began stumbling over the words in the middle of her hit.,C2
He was a newcomer to Formula One and ignorant of many of the circuits.,C2
I wrote a passionate article about how to protect our environment.,B2
Wait a minute - I've just had an idea.,B1
The agency sent a replacement for the secretary who resigned.,B2
My bedroom has drawings of trucks and motorbikes.,B1
We keep a tight control on the organization's finances.,B2
His girlfriend is a regular member of that new club which I have joined.,B1
Keep your eyes open for anything unusual.,C2
"During the day you can visit all of our museums or schools or even the air force base, which is open from 9[:]00 until [6:]00.",B1
House prices have gone down recently.,B1
You can see my house on the right-hand side.,A2
He looked ill at ease in the room full of reporters.,C2
It is because of widespread use of deep-freezing and preservatives.,C1
"About 3 weeks later, I tried to escape from the prison, but they caught me.",B1
Ten thousand dollars was given by an anonymous donor.,C2
I have to go to the dentist first!,A1
"I often wear jeans, mainly blue jeans.",B1
I fixed the lighting on the ceiling and attached several spotlights to the walls.,B2
"From a symbolic point of view, the whole book features the conflict between good and evil, between reason and primary brutal passions such as savageness and lust for blood.",C2
"He suffers from back trouble too, so he was very sympathetic about my problem.",B2
His office is at the far end of the corridor.,B2
"At that time we were not old enough yet to appreciate this, but today I am very thankful because due to my parents, I've developed a thirst for knowledge that will never be satisfied.",C2
This tape is really sticky.,B1
"And if you are a guest of the hotel, they'll give you a beautiful flower.",A2
"Dear Robert, I think I left my math book in your house last night.",A2
"Also, people care more about what really is in the food they eat and so interest in organic food is increasing.",B2
They were forced to abandon the car.,B2
My grandmother lives in Argentina.,A2
I hope you will take account of our request.,B2
Wear flat shoes - you'll be on your feet all day.,B1
"I turned back but I didn't see anyone, so I thought that I had imagined it.",B1
"Please say hello to your folks for me, and write me!",B2
The personalities of my parents were very different but at the same time they were a very compatible couple.,C2
"Our hotel room is pretty small, but we'll just have to make the best of it.",B2
I don't want to have a fight over this.,B2
"I always look forward, not back.",B2
Her request for time off work was denied.,B2
"We are all socialized by our peers, family and other people who cross our path at one time or another.",C2
Most students support themselves and barely make ends meet every month.,C1
"After all that hard work, losing my job was a real slap in the face.",C2
He made no secret of his belief that she would recover.,B2
"A child who has never experienced security in his family will certainly become an insecure adult, and from a psychological point of view, many of the adults' problems and inhibitions go back to some negative experience or even trauma in infancy and childhood.",C2
"Despite being provided with a machine which gives out hot and cold drinks, the cafeteria does not contain any table, stool or chair.",B2
"As far as sports are concerned, I like tennis and football.",B2
I am interested in farming and hope to own a farm one day.,B1
"The past of ""change"" is ""changed.""",A2
These intensive courses claim to offer a fast track to wealth and success.,C2
I've cut the grass.,A1
I think he is still very famous because he is an icon and kickboxing is still very popular because of him.,B2
There is no evidence to connect him with the crime.,C2
Casey is quite tall.,A2
I admire and applaud Stevens' integrity and dignity.,C2
Wear some thin clothes because it will be very hot.,A2
The location of the apartment exceeded our expectations.,C1
"After 15 minutes I ordered a ""Party Pizza.""",A2
They just pulled into the driveway.,B2
Don't blame me if you miss the bus!,B1
"It was dangerous, but I knew I had do it, bungee jumping! My instructor said 1, 2, 3, and then he said : ""Go"", so I jumped from the platform where I was standing.",B2
"This network is used by the four most used means of transport in our city (namely, bus, car, bicycle and motorcycle) and has been plagued by problems such as potholes, poor drainage and poor use (or lack!) of traffic signs.",C1
I printed out a page about leg exercises.,A2
"It is necessary to get rid of all our previous bias when we go to a foreign country, to achieve a better understanding of the local culture.",C2
He's a highly moral man.,C1
On our way around the lake we would have the opportunity of visiting a huge medieval castle which is said to be haunted.,B2
That sounds like a really good idea.,B1
She agreed to help him.,B2
This is only ten minutes by car.,A1
He made the fatal error of believing what they told him.,B2
"Some of our children, brought up in modern cities, in a world of concrete, cars, motorways and supermarkets, when asked: ""What is a fish?"" are only able to answer: ""a square piece of white flesh we take from the freezer"".",B2
Also a member who is not paying the contributions to the SOE club will be disqualified from it.,C2
"You just ask for what you want put in it - ham, eggs, salad, chicken, mustard, etc.",C1
We are getting more and more concerned about our health and how to get and keep fit nowadays.,B2
She clutched a coin.,C2
I like rap and techno but I don't know if everybody loves this sort of music!,A2
Poverty still exists in this country.,B1
"I tried to reach the company several times in the last two months, unsuccessfully.",C1
Did you say the meeting is on Wednesday?,A1
The troops eventually occupied most of the island.,C1
"Under his direction, the company has doubled its profits.",C1
It's pink with purple stars.,A2
"The old sweatshop has no appeal, and even many well-paid extra hours are rejected in order to preserve one's most sacred thing: free time.",C2
I don't have time here to go into all the details.,B2
The project is designed to aid the homeless.,C1
"Contrary to this experience, I had experienced my mother's coldness through the other episode.",C2
Almost all the companies use computers in order to collect and to analyze data about their activities or their customers.,B2
I would like a room which looks out onto the garden.,B2
"I always watch this program, it's really interesting for anyone who enjoys cooking. [...] Usually two chefs come in and prepare the food, and they have a time limit.",B1
"In addition, they agree that the solution to the traffic is of utmost importance in a big city, because noise and pollution from car exhaust pipes wreck the nerves of city dwellers.",C2
"On the other hand, the minority of people who believe the opposite maybe want to see the animals and to watch their movements.",B2
He's a great reader.,B1
I had the privilege of meeting the Queen.,C1
Be careful because you know computers drive me crazy.,B2
This is one of the museum's finest specimens.,C2
The ads were designed to shock - that was the whole point of the campaign.,B2
It is 5 inches in width.,B2
Add this website to your bookmarks.,B2
"Hi, Jo Is your family good?",A1
"In this club we produce and design the school magazine ""freestyle"".",B1
"The presentation on tourism was brilliant, exceeding my expectations.",C1
We were struck by his tenderness toward the old people.,C2
I have been working as a social activity organizer for 5 years at the English Language School.,B2
He shouldn't behave like that in public.,B2
But how can anyone satisfy a wealthy woman like her without giving her an expensive present?,B2
We were all suffering from thirst.,B2
Our family has a history of diabetes.,C1
I've got three identical blue suits.,B2
I’d better sew that loose button before it comes off.,B2
His show did well in the ratings.,C2
"I like this place because I have lots of friends there] The people, houses, pets - everything is very good.",A1
We can't stand doing without the car.,B2
"If it was James I would be at a loss for words, I didn't know what to tell him.",C2
People will be able to adjust and change with the times.,B2
Can I borrow ten dollars?,A1
"It is forced to jump into a ring of fire, if it does not want to do it, it will be hit.",B2
"Not only ""Tandoori dishes"" but all the dishes are tasty, to name some there are Chinese, North Indian, and many others.",B1
"When they broke the news of their engagement, their parents were was delighted.",C2
"I got a chess board, Harry Potter and the Order of Phoenix, some photo frames, wall hangings and a lot of other gifts.",A2
This party stands for low taxes and individual freedom.,B2
Both paintings are on loan from the city museum.,C1
"In no more than ten lines, my mother explained that she was moving to Brazilia, the capital of our country, and that she would take me and my brother with her.",B1
"And although I've never had to cook for myself, I suppose I would be capable of cooking if needed.",B2
"We need to show films that are enjoyable for all kinds of people, always giving priority to the quality.",B2
She’s been trying to pass her driving test for months and she finally succeeded.,B1
Stevens's ideas on dignity become very clear if we follow his train of thought through the book and if we examine closely the events which encourage him into further discussion of this issue.,C2
"Even though all the lights were on and there was an unpleasant odor of recently put-out cigarettes and also a smell of an expensive perfume, he just couldn't get a glimpse of anyone.",C2
The next suggestion connected with this park is not to build any parking for cars.,B1
Nothing is as strong as the love you have for your kids.,B1
"If I could travel back to any place and time in history, I would choose the day when Wor[l]d War II was officially declared over.",C1
My dream of going to Spain came true.,B1
The weather forecast is not so good for the next two days: rain and wind.,B1
Sometimes I watch programs about cars and other vehicles.,B1
Many of us could reduce our carbon footprint by taking fewer flights and insulating our homes better.,B2
On the next day there was an extraordinary thunderstorm!,B1
Only those who are open-minded and really intelligent stand a chance of survival as the disaster is of world-wide extent and there can be no aid for the victims.,C2
"The situation gets worse, especially during peak hours, when people go to work or school and when they return home.",B2
Her new office was the envy of the whole company.,C2
She threaded her way through the crowd.,C2
Only people over 18 are eligible to vote.,C1
"First of all, I found the seats inadequate and my seat belt was broken.",C1
He sat back on the sofa.,B1
"Lucia let her speak and calmly said: ""You really have gone too far this time.""",C2
The baby is learning to walk and keeps falling on her butt.,C1
"Starting to feel faint, Fred quickly roused himself and ran out of the hotel as quickly as he could.",C2
The walls in this apartment are so thin you can hear just about every word the neighbors say.,A1
We tried unsuccessfully to climb the wall.,C1
By rail: get off at York station and you can walk from the station. Turn left and the hotel is on your left-hand side.,B1
I think it is next to the lamp.,A2
I am always trying to convince my friend Maria of these dangers.,B2
This thought scared me and made my blood run cold.,C2
The future is looking bleak for small businesses struggling with debts.,C2
He looks a bit down in the dumps.,C2
Sheila won first prize in the photo competition.,A2
It seems that international sports competitions have always tended to attract a great amount of interest on the part of the media and have consistently been popular with sports fans the world over.,C2
"She bought me a dress for my aunt's wedding. It was quite expensive, approximately 300 euros.",A2
We only had one rehearsal before the show.,B2
My idea of fun is not getting up at seven o'clock in the morning to take a bus where we are squashed by lots of rude people we don't even know.,B2
We will stay in our tents overnight and get up early in the morning to reach the next camping site.,B1
I'm arriving at four o'clock.,A2
"In fact, more and more countries are creating new environmental policies.",B2
"I was sitting like every evening in my armchair, reading my favorite book ""My fight for Irish freedom"" and suddenly the lights went out.",B2
"Passing through the arch, you enter an open courtyard.",C2
She is that sort of a person who prefers to have more time on her hands so as to avoid the last-minute rush.,C2
Once upon a time there was a beautiful princess.,B1
The teacher told me off for swearing.,B2
"Could you empty the washing machine, please?",A2
He's the new king of pop music.,C1
His book really captures the spirit of the place.,B2
"I watched the news and one episode of ""Friends"".",B2
"Nowadays, some of her most noticeable characterictics are her courtesy, her self-discipline and the compassion that she shows for those who suffer.",C2
I've decided not to renew my membership of the tennis club this year.,B2
"I have one class a week with Miss Liz, she is my teacher.",A1
She had her car stolen last week.,B1
"For instance, one of those major companies is about to launch the microwave version of one of our region's most famous meals.",C1
"Dear Julie, Sam, and Max I'm just writing to give you guys some tips about your trip to Brazil.",B1
There is a fitness circuit in the woods.,C2
You have to possess tenacity: never throw in the towel.,C2
Of course I was able to purchase a second-hand one but I thought that it was a good investment to have a new computer with up-to-date software.,B2
"Then, I saw a police officer on the corner of the street.",A2
"He has to eat salads now, in the hope that the kids'll copy his attitudes and eat fresh and healthy food instead of sweets and unhealthy stuff.",B2
The people I most admire are simultaneous interpreters.,C1
